collectionNo,id,name,rarity,image,gachas,weights,type,battleType,battleTags,battleAbility
89,element_089,Ac アクチニウム,N,images/element/089_Ac_n.png,series_002,,,,,
90,element_090,Th トリウム,N,images/element/090_Th_n.png,series_002,,,,,
91,element_091,Pa プロトアクチニウム,R,images/element/091_Pa_r.png,series_002,,,,,
92,element_092,U ウラン,UR,images/element/092_U_ur.png,series_002,,,,,
93,element_093,Np ネプツニウム,N,images/element/093_Np_n.png,series_002,,,,,
94,element_094,Pu プルトニウム,UR,images/element/094_Pu_ur.png,series_002,,,,,
95,element_095,Am アメリシウム,N,images/element/095_Am_n.png,series_002,,,,,
96,element_096,Cm キュリウム,N,images/element/096_Cm_n.png,series_002,,,,,
97,element_097,Bk バークリウム,N,images/element/097_Bk_n.png,series_002,,,,,
98,element_098,Cf カリホルニウム,N,images/element/098_Cf_n.png,series_002,,,,,
99,element_099,Es アインスタイニウム,N,images/element/099_Es_n.png,series_002,,,,,
100,element_100,Fm フェルミウム,N,images/element/100_Fm_n.png,series_002,,,,,
101,element_101,Md メンデレビウム,R,images/element/101_Md_r.png,series_002,,,,,
102,element_102,No ノーベリウム ,N,images/element/102_No_n.png,series_002,,,,,
103,element_103,Lr ローレンシウム,N,images/element/103_Lr_n.png,series_002,,,,,
104,element_104,Rf ラザホージウム,N,images/element/104_Rf_n.png,series_002,,,,,
105,element_105,Db ドブニウム,N,images/element/105_Db_n.png,series_002,,,,,
106,element_106,Sg シーボーギウム,N,images/element/106_Sg_n.png,series_002,,,,,
107,element_107,Bh ボーリウム,N,images/element/107_Bh_n.png,series_002,,,,,
108,element_108,Hs ハッシウム,N,images/element/108_Hs_n.png,series_002,,,,,
109,element_109,Mt マイトネリウム,N,images/element/109_Mt_n.png,series_002,,,,,
110,element_110,Ds ダームスタチウム,N,images/element/110_Ds_n.png,series_002,,,,,
111,element_111,Rg レントゲニウム,SR,images/element/111_Rg_sr.png,series_002,,,,,
112,element_112,Cn コペルニシウム,R,images/element/112_Cn_r.png,series_002,,,,,
113,element_113,Nh ニホニウム,UR,images/element/113_Nh_ur.png,series_002,,,,,
114,element_114,Fl フレロビウム,N,images/element/114_Fl_n.png,series_002,,,,,
115,element_115,Mc モスコビウム,N,images/element/115_Mc_n.png,series_002,,,,,
116,element_116,Lv リバモリウム,N,images/element/116_Lv_n.png,series_002,,,,,
117,element_117,Ts テネシン ,N,images/element/117_Ts_n.png,series_002,,,,,
118,element_118,Og オガネソン,UR,images/element/118_Og_ur.png,series_002,,,,,
001,ovarloard_001,モモンガ,UR,images/overloard/001_ur.png,series_003,,,magic,supreme_41,guild_master
002,ovarloard_002,アルベド,UR,images/overloard/002_ur.png,series_003,,,tank,,
003,ovarloard_003,シャルティア・ブラッドフォールン,UR,images/overloard/003_ur.png,series_003,,,attacker,,
004,ovarloard_004,デミウルゴス,UR,images/overloard/004_ur.png,series_003,,,magic,,
005,ovarloard_005,アウラ,UR,images/overloard/005_ur.png,series_003,,,attacker,,
006,ovarloard_006,マーレ,UR,images/overloard/006_ur.png,series_003,,,magic,,
007,ovarloard_007,コキュートス,UR,images/overloard/007_ur.png,series_003,,,tank,,
008,ovarloard_008,パンドラズアクター,UR,images/overloard/008_ur.png,series_003,,,,,
009,ovarloard_009,ガルガンチュア,R,images/overloard/009_r.png,series_003,,,tank,,
010,ovarloard_010,ヴィクティム,R,images/overloard/010_r.png,series_003,,,noncombatant,,
011,ovarloard_011,セバス・チャン,SR,images/overloard/011_sr.png,series_003,,,tank,,
012,ovarloard_012,ユリ・アルファ,SR,images/overloard/012_sr.png,series_003,,,attacker,,
013,ovarloard_013,ルプスレギナ・ベータ,SR,images/overloard/013_sr.png,series_003,,,magic,,
014,ovarloard_014,ナーベラル・ガンマ,SR,images/overloard/014_sr.png,series_003,,,magic,,
015,ovarloard_015,シズ・デルタ,SR,images/ovarloerd/015_sr.png,series_003,,,attacker,,
016,ovarloard_016,ソリュシャン・イプシロン,SR,images/overloard/016_sr.png,series_003,,,attacker,,
017,ovarloard_017,エントマ・ヴァシリッサ・ゼータ,SR,images/overloard/017_sr.png,series_003,,,magic,,
018,ovarloard_018,オーレオール・オメガ,SR,images/overloard/018_sr.png,series_003,,,attacker,,
019,ovarloard_019,ヴァンパイア・ブライド,N,images/overloard/019_n.png,series_003,,,attacker,,
020,ovarloard_020,エイトエッジアサシン,N,images/overloard/020_n.png,series_003,,,attacker,,
021,ovarloard_021,エンリ・エモット,N,images/ovarloerd/021_n.png,series_003,,,noncombatant,,
022,ovarloard_022,ンフィーリア・バレアレ,N,images/overloard/022_n.png,series_003,,,noncombatant,,
023,ovarloard_023,ツアレ,N,images/overloard/023_n.png,series_003,,,noncombatant,,
024,ovarloard_024,たっちみー,UR,images/overloard/024_ur.png,series_003,,,attacker,supreme_41,world_champion
025,ovarloard_025,武人建御雷,UR,images/overloard/025_ur.png,series_003,,,attacker,,
026,ovarloard_026,タブラ・スマラグディナ,UR,images/overloard/026_ur.png,series_003,,,,,
027,ovarloard_027,ニグレド,SR,images/overloard/027_ur.png,series_003,,,attacker,,
028,ovarloard_028,ルベド(仮),SR,images/overloard/028_ur.png,series_003,,,attacker,,
029,ovarloard_029,ウルベルト・アレイン・オードル,UR,images/overloard/029_ur.png,series_003,,,magic,,
030,ovarloard_030,ペロロンチーノ,UR,images/overloard/030_ur.png,series_003,,,attacker,supreme_41,
031,ovarloard_031,ぶくぶく茶釜,UR,images/overloard/031_ur.png,series_003,,,tank,supreme_41,
032,ovarloard_032,やまいこ,UR,images/overloard/032_ur.png,series_003,,,attacker,supreme_41,
033,ovarloard_033,獣王メコン川,UR,images/overloard/033_ur.png,series_003,,,attacker,supreme_41,
034,ovarloard_034,弐式炎雷,UR,images/overloard/034_ur.png,series_003,,,attacker,supreme_41,
035,ovarloard_035,ヘロヘロ,UR,images/overloard/035_ur.png,series_003,,,tank,supreme_41,
036,ovarloard_036,ガーネット(仮),UR,images/overloard/036_ur.png,series_003,,,magic,supreme_41,
037,ovarloard_037,あまのまひとつ,UR,images/overloard/037_ur.png,series_003,,,tank,supreme_41,
038,ovarloard_038,ベルリバー,UR,images/overloard/038_ur.png,series_003,,,attacker,supreme_41,
039,ovarloard_039,るし★ふぁー,UR,images/overloard/039_ur.png,series_003,,,magic,supreme_41,
040,ovarloard_040,ばりあぶるたりすまん,UR,images/overloard/040_ur.png,series_003,,,tank,supreme_41,
041,ovarloard_041,餡ころもっちもっち,UR,images/overloard/041_ur.png,series_003,,,tank,supreme_41,
042,ovarloard_042,ホワイトブリム,UR,images/overloard/042_ur.png,series_003,,,attacker,supreme_41,
043,ovarloard_043,エンショントワン,UR,images/overloard/043_ur.png,series_003,,,magic,supreme_41,
044,ovarloard_044,ぷにっと萌え(変化),UR,images/overloard/044_ur.png,series_003,,,magic,supreme_41,


