| No. | 元素           |  Rare  | キャラ  | デザイン原案                                   |
|  62 | Sm サマリウム     |    N   | 男性   | 赤茶色の髪をした磁石職人                             |
|  63 | Eu ユウロピウム    |    R   | 女性   | 赤く光る舞台衣装を着た踊り子                           |
|  64 | Gd ガドリニウム    |    R   | 女性   | 白衣の女性研究者。大型の円環装置                         |
|  65 | Tb テルビウム     |    N   | 少女   | 緑色に光る妖精のような小柄な少女                         |
|  66 | Dy ジスプロシウム   |    R   | 男性   | 黒紫色の重厚な和装男性                              |
|  67 | Ho ホルミウム     |    N   | 女性   | 桃色の宝石を身につけた森の少女                          |
|  68 | Er エルビウム     |    N   | 女性   | ピンク髪。通信機器を持ったオペレーター                      |
|  69 | Tm ツリウム      |    N   | 男性   | 青髪の医療技師                                  |
|  70 | Yb イッテルビウム   |    N   | 少女   | 時計修理が趣味の小柄な少女                            |
|  71 | Lu ルテチウム     |    N   | 女性   | 白金髪の落ち着いた貴族女性                            |
|  72 | Hf ハフニウム     |    N   | 男性   | 炉の管理人。分厚い耐熱服                             |
|  73 | Ta タンタル      |    R   | 女性   | 黒いロングコートを着た寡黙な女性                         |
|  74 | W タングステン     |   SR   | 男性   | 非常に大柄な黒髪男性。重量感だけで圧倒する                    |
|  75 | Re レニウム      |    N   | 老人男性 | 炉を管理する頑固な老職人                             |
|  76 | Os オスミウム     |    R   | 女性   | 小柄なのに異様な存在感がある青黒髪の女性                     |
|  77 | Ir イリジウム     |    R   | 女性   | 虹色光沢を持つ隕石研究家                             |
|  78 | Pt 白金        |   SR   | 女性   | プラチナブロンドの上品な大人の女性。高級感特化                  |
|  79 | Au 金         | **UR** | 女性   | 黄金の女王。巨大な冠、金装飾、浮遊する金片。URの代表格             |
|  80 | Hg 水銀        | **UR** | 中性   | 銀色の液体生命体。人型だが輪郭が絶えず変化する                  |
|  81 | Tl タリウム      |    N   | 男性   | 蒼白い青年。病的で儚い印象                            |
|  82 | Pb 鉛         |   SR   | 男性   | 大柄で無口。鉛色の重たいコート                          |
|  83 | Bi ビスマス      | **UR** | 女性   | 虹色階段結晶を全身に纏う幻想的な女性                       |
|  84 | Po ポロニウム     |    N   | 女性   | 黒い喪服を着た静かな女性                             |
|  85 | At アスタチン     |    N   | 人外♀型 | 身体の輪郭が所々消えている不安定な少女                      |
|  86 | Rn ラドン       |    R   | 人外♂型 | 紫色の煙から上半身だけ現れる幽霊紳士                       |
|  87 | Fr フランシウム    |    N   | 少年   | いつ消えるか分からない儚い金髪少年                        |
|  88 | Ra ラジウム      |   SR   | 女性   | 緑白色に淡く発光する古風な令嬢                          |
|  89 | Ac アクチニウム    |    N   | 男性   | 深青色の研究者。古い資料を大量に持っている                    |
|  90 | Th トリウム      |    R   | 男性   | 白灰色の神官風男性                                |
|  91 | Pa プロトアクチニウム |    N   | 女性   | 左右非対称の服を着た未完成感のある研究者                     |
|  92 | U ウラン        | **UR** | 男性   | 黒緑の長身男性。背後に巨大な発光鉱石が浮遊                    |
|  93 | Np ネプツニウム    |    N   | 女性   | 海王星モチーフの深青髪女性                            |
|  94 | Pu プルトニウム    | **UR** | 女性   | 赤黒の危険な科学者。複数の浮遊コアが周囲を公転する                |
|  95 | Am アメリシウム    |    N   | 少女   | 赤い警報灯型ヘアアクセサリーをした子供                      |
|  96 | Cm キュリウム     |    N   | 女性   | 活発な女性科学者。実験道具だらけ                         |
|  97 | Bk バークリウム    |    N   | 男性   | 大学研究室にいそうな気さくな青年                         |
|  98 | Cf カリホルニウム   |    N   | 女性   | 西海岸風ファッションの快活な女性                         |
|  99 | Es アインスタイニウム |    N   | 女性   | 白髪ぼさぼさの天才少女科学者                           |
| 100 | Fm フェルミウム    |    N   | 男性   | 静かに計算を続ける理論家                             |
| 101 | Md メンデレビウム   |    N   | 老人男性 | 元素カードを整理する老教授                            |
| 102 | No ノーベリウム    |    N   | 女性   | 上品な研究者。爆薬と平和という相反するモチーフ                  |
| 103 | Lr ローレンシウム   |    N   | 女性   | 巨大研究施設のオペレーター                            |
| 104 | Rf ラザホージウム   |    N   | 男性   | 原子模型を持つ物理教師風                             |
| 105 | Db ドブニウム     |    N   | 男性   | 厳格な研究所職員                                 |
| 106 | Sg シーボーギウム   |    N   | 女性   | 海洋研究者風の女性                                |
| 107 | Bh ボーリウム     |    N   | 少年   | 原子模型を抱えている科学好き少年                         |
| 108 | Hs ハッシウム     |    N   | 女性   | 黒いロングドレスを着た無口な長身女性                       |
| 109 | Mt マイトネリウム   |    N   | 女性   | レトロな女性科学者を思わせる服装                         |
| 110 | Ds ダームスタチウム  |    N   | 男性   | 都会的な銀髪青年                                 |
| 111 | Rg レントゲニウム   |    N   | 女性   | 片眼鏡を付けた女性医師                              |
| 112 | Cn コペルニシウム   |    N   | 女性   | 星図を持つ天文学者。髪飾りが惑星軌道型                      |
| 113 | Nh ニホニウム     | **UR** | 女性   | 和風ではあるが露骨な侍ではなく、黒銀＋紫電の現代的な和装女性           |
| 114 | Fl フレロビウム    |    N   | 中性   | 無機質な銀青色の人工生命体                            |
| 115 | Mc モスコビウム    |    N   | 女性   | 寒冷都市風の厚手コートを着た女性                         |
| 116 | Lv リバモリウム    |    N   | 人外   | 大型の毛むくじゃらな獣人。重元素らしい巨大体格                  |
| 117 | Ts テネシン      |    N   | 女性   | 紫黒の衣装を着た音楽好き女性。弦楽器を持つ                    |
| 118 | Og オガネソン     | **UR** | 人外♂型 | 星雲のような身体を持つ巨大な人型存在。「周期表の終点」そのもの          |
